seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12993,2024,IND.2,19341,283213,12,2,0,0,2,0,0,0,0,1,1,1,0,0,7,2025-03-21 04:47:46
12993,2024,IND.2,21312,283216,19,2,0,0,0,0,1,0,0,1,1,1,0,0,23,2025-03-21 04:47:45
12993,2024,IND.2,22070,284102,5,1,0,0,1,0,0,0,0,0,0,0,0,0,8,2025-03-21 04:47:44
12993,2024,IND.2,18896,284104,8,7,0,0,1,0,0,0,0,1,1,1,0,0,4,2025-03-21 04:47:45
12993,2024,IND.2,22472,286320,5,0,0,0,2,1,0,0,0,0,0,0,0,0,7,2025-03-21 04:47:46
12993,2024,IND.2,8896,294353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-21 04:47:44
12993,2024,IND.2,8896,297019,15,4,0,0,5,0,0,0,0,1,1,1,0,0,9,2025-03-21 04:47:44
12993,2024,IND.2,22069,297020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-21 04:47:45
12993,2024,IND.2,22069,297712,8,4,0,0,1,0,0,0,0,0,0,0,0,0,8,2025-03-21 04:47:45
12993,2024,IND.2,18895,297740,14,0,0,0,2,0,0,0,0,0,0,0,0,0,30,2025-03-21 04:47:43
12993,2024,IND.2,22071,298530,5,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2025-03-21 04:47:45
12993,2024,IND.2,22069,298783,17,9,0,0,3,0,0,0,0,0,0,0,0,0,11,2025-03-21 04:47:45
12993,2024,IND.2,19341,299599,17,1,0,0,1,1,0,0,0,4,4,4,0,0,16,2025-03-21 04:47:46
12993,2024,IND.2,21311,299711,18,3,0,0,3,0,0,1,0,2,2,2,0,0,25,2025-03-21 04:47:47
12993,2024,IND.2,21312,299732,4,3,0,0,0,0,0,0,0,0,0,0,0,0,4,2025-03-21 04:47:45
12993,2024,IND.2,8896,299737,6,4,0,0,0,0,0,0,0,0,0,0,0,0,4,2025-03-19 04:47:12
12993,2024,IND.2,22069,299737,6,4,0,0,0,0,0,0,0,0,0,0,0,0,4,2025-03-21 04:47:45
12993,2024,IND.2,22472,299737,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-01-19 05:33:08
12993,2024,IND.2,18895,299746,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-21 04:47:43
12993,2024,IND.2,22070,299809,4,3,0,0,0,0,0,0,0,2,2,2,0,0,7,2025-03-21 04:47:44
12993,2024,IND.2,22472,299812,11,5,0,0,0,0,0,0,0,1,1,1,0,0,10,2025-03-21 04:47:46
12993,2024,IND.2,19341,299821,17,1,0,0,5,0,0,0,0,0,0,0,0,0,20,2025-03-21 04:47:46
12993,2024,IND.2,18895,300112,9,7,0,0,0,0,0,1,0,0,0,0,0,0,7,2025-03-21 04:47:43
12993,2024,IND.2,8896,300114,11,1,0,0,3,0,0,0,0,1,1,1,0,0,7,2025-03-21 04:47:44
12993,2024,IND.2,22069,301901,4,1,0,0,0,1,0,1,0,0,0,0,0,0,8,2025-03-21 04:47:45
12993,2024,IND.2,22069,302470,14,0,0,0,2,0,0,0,0,0,0,0,0,0,12,2025-03-21 04:47:45
12993,2024,IND.2,8896,309519,18,1,0,0,4,0,0,3,0,12,12,12,0,0,16,2025-03-21 04:47:44
12993,2024,IND.2,22070,309611,11,1,0,0,1,0,0,0,0,0,0,0,0,0,19,2025-03-21 04:47:44
12993,2024,IND.2,22069,309616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-21 04:47:45
12993,2024,IND.2,22473,309801,12,10,0,0,1,0,0,0,0,1,1,1,0,0,4,2025-03-21 04:47:44
12993,2024,IND.2,18898,309803,4,0,0,0,1,0,1,0,0,0,0,0,0,0,10,2025-02-01 14:47:15
12993,2024,IND.2,18898,309824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-21 04:47:46
12993,2024,IND.2,21311,310282,11,1,0,0,2,0,0,0,0,0,0,0,0,0,15,2025-03-21 04:47:47
12993,2024,IND.2,22473,310366,7,5,0,0,0,0,0,0,0,0,0,0,0,0,3,2025-03-21 04:47:44
12993,2024,IND.2,22069,310501,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-21 04:47:45
12993,2024,IND.2,22069,310575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2025-03-21 04:47:45
12993,2024,IND.2,22070,311372,13,2,0,0,2,0,0,0,0,0,0,0,0,0,30,2025-03-21 04:47:44
12993,2024,IND.2,22070,311375,8,0,0,0,1,0,0,0,0,0,0,0,0,0,12,2025-03-21 04:47:44
12993,2024,IND.2,22473,311380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-21 04:47:44
