seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12647,2024,KSA.KINGS.CUP,21964,246281,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2024-10-13 05:11:02
12647,2024,KSA.KINGS.CUP,929,247018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:10:55
12647,2024,KSA.KINGS.CUP,21828,247993,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2024-10-13 05:11:06
12647,2024,KSA.KINGS.CUP,22280,248439,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 05:11:00
12647,2024,KSA.KINGS.CUP,22022,251570,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 05:11:01
12647,2024,KSA.KINGS.CUP,8363,253100,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:10:58
12647,2024,KSA.KINGS.CUP,22029,253105,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2024-10-13 05:11:08
12647,2024,KSA.KINGS.CUP,22029,253111,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2024-10-13 05:11:08
12647,2024,KSA.KINGS.CUP,22279,253119,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 05:11:04
12647,2024,KSA.KINGS.CUP,22279,253121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:11:04
12647,2024,KSA.KINGS.CUP,21835,253183,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2024-10-13 05:11:01
12647,2024,KSA.KINGS.CUP,21831,253184,1,0,2,0,1,0,0,0,0,1,1,1,0,0,2,2024-10-13 05:10:55
12647,2024,KSA.KINGS.CUP,7131,253189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:10:56
12647,2024,KSA.KINGS.CUP,21966,253191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:11:07
12647,2024,KSA.KINGS.CUP,929,253195,1,0,0,1,0,0,0,0,0,1,2,0,0,0,0,2024-10-13 05:10:55
12647,2024,KSA.KINGS.CUP,13033,253199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:11:04
12647,2024,KSA.KINGS.CUP,8346,253205,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:11:03
12647,2024,KSA.KINGS.CUP,21830,253207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:11:04
12647,2024,KSA.KINGS.CUP,8363,253364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:10:58
12647,2024,KSA.KINGS.CUP,7131,253367,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2024-10-13 05:10:56
12647,2024,KSA.KINGS.CUP,21829,253409,1,1,0,1,1,0,0,0,0,0,0,0,0,0,3,2024-10-13 05:11:03
12647,2024,KSA.KINGS.CUP,22024,253410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:10:58
12647,2024,KSA.KINGS.CUP,22028,253506,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2024-10-13 05:11:05
12647,2024,KSA.KINGS.CUP,22028,255654,1,0,1,1,0,0,0,0,0,1,3,1,0,0,3,2024-10-13 05:11:05
12647,2024,KSA.KINGS.CUP,21832,256153,1,0,1,0,1,0,0,0,0,0,0,0,0,0,4,2024-10-13 05:11:02
