seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12726,714872,2,43562466,43',Nathan Austin (East Fife) Goal at 43',2024-08-18 05:56:17
12726,714872,3,43562957,45',Stewart Murdoch (East Fife) Substitution at 45',2024-08-18 05:56:17
12726,714872,4,43563139,50',Andrew Munro (East Fife) Own Goal at 50',2024-08-18 05:56:17
12726,714872,5,43563968,65',Jack Healy (East Fife) Substitution at 65',2024-08-18 05:56:17
12726,714872,6,43563969,66',Russell Mclean (Forfar Athletic) Substitution at 66',2024-08-18 05:56:17
12726,714872,7,43564110,69',Mitchell Taylor (Forfar Athletic) Yellow Card at 69',2024-08-18 05:56:17
12726,714872,8,43564367,75',Scott Reekie (Forfar Athletic) Substitution at 75',2024-08-18 05:56:17
12726,714872,9,43564472,78',Adam Laaref (East Fife) Substitution at 78',2024-08-18 05:56:17
12726,714872,10,43564473,78',Mark McCallum (Forfar Athletic) Yellow Card at 78',2024-08-18 05:56:17
12726,714872,11,43564497,79',Alan Trouten (East Fife) Penalty - Scored at 79',2024-08-18 05:56:17
12726,714872,12,43564572,80',Josh Skelly (Forfar Athletic) Substitution at 80',2024-08-18 05:56:17
12726,714872,13,43564631,82',Nathan Cannon (Forfar Athletic) Yellow Card at 82',2024-08-18 05:56:17
12726,714872,14,43564736,84',Patrick Slattery (East Fife) Substitution at 84',2024-08-18 05:56:17
12726,714872,15,43564737,84',Russell Mclean (Forfar Athletic) Yellow Card at 84',2024-08-18 05:56:17
12726,714873,0,43561566,16',Kerr Young (Bonnyrigg Rose) Goal at 16',2024-08-18 05:56:17
12726,714873,1,43562116,35',Shea Scally (Edinburgh City) Yellow Card at 35',2024-08-18 05:56:17
12726,714873,2,43562176,36',Lee Currie (Bonnyrigg Rose) Yellow Card at 36',2024-08-18 05:56:17
12726,714873,3,43562298,38',Sean Murphy (Bonnyrigg Rose) Yellow Card at 38',2024-08-18 05:56:17
